"﻿变量名",typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,answer,imgID
136,1,50,119,"[Common Sense] Which area is the second largest among the seven continents?  ",【常識】七大洲中面積第二的是？ ,[Common Sense] Which area is the second largest among the seven continents?  ,404,404,Africa,非洲,Africa,404,404,Oceania,大洋洲,Oceania,404,404,Antarctica,南極洲,Antarctica,404,404,Asia,亞洲,Asia,404,404,1,
137,1,50,119,[Common sense] How many intersections are there on the Go board?,【常識】圍棋棋盤共有幾個交叉點？,[Common sense] How many intersections are there on the Go board?,404,404,"361 ",361 ,361 ,404,404,324,324,324,404,404,441,441,441,404,404,289,289,289,404,404,1,
138,1,50,120,"[Common Sense] Which city is called the ""International Conference Capital""?  ","【常識】被稱為""國際會議之都""的城市是？ ","[Common Sense] Which city is called the ""International Conference Capital""?  ",404,404,Geneva,日內瓦,Geneva,404,404,New York,紐約,New York,404,404,Tehran,德黑蘭,Tehran,404,404,Rio de Janeiro,裏約熱內盧,Rio de Janeiro,404,404,1,
139,1,50,120,[Common Sense] What is the longest river directly into the Atlantic Ocean?,【常識】直接匯入大西洋最長的河流是？,[Common Sense] What is the longest river directly into the Atlantic Ocean?,404,404,Amazon River,亞馬遜河,Amazon River,404,404,The Nile,尼羅河,The Nile,404,404,Mississippi River,密西西比河,Mississippi River,404,404,Congo River,剛果河,Congo River,404,404,1,
140,1,50,120,"[Common Sense] What state is Hollywood located in?  ",【常識】好萊塢位於美國什麽州？ ,[Common Sense] What state is Hollywood located in?  ,404,404,California,加利福尼亞州,California,404,404,Colorado,科羅拉多州,Colorado,404,404,Minnesota,明尼蘇達州,Minnesota,404,404,Alaska,阿拉斯加州,Alaska,404,404,1,
141,1,50,124,"[Common Sense] Which countries participated in the first ancient Olympic Games?  ",【常識】參加第一屆古代奧運會的國家有？ ,[Common Sense] Which countries participated in the first ancient Olympic Games?  ,404,404,3,3個,3,404,404,One,1個,One,404,404,Two,2個,Two,404,404,Five,5個,Five,404,404,1,
142,1,50,124,[Common Sense] How much does blood account for an adult's own body weight?,【常識】血液占成人自身體重的多少？,[Common Sense] How much does blood account for an adult's own body weight?,404,404,7-8%,7-8%,7-8%,404,404,4-5%,4-5%,4-5%,404,404,10-15%,10-15%,10-15%,404,404,1-2%,1-2%,1-2%,404,404,1,
143,1,50,124,[Common Sense] The headquarters of Microsoft Corporation of the United States is located in,【常識】美國微軟公司的總部設在,[Common Sense] The headquarters of Microsoft Corporation of the United States is located in,404,404,"Western America ",美國西部 ,Western America ,404,404,"Eastern United States ",美國東部 ,Eastern United States ,404,404,"Central America ",美國中部 ,Central America ,404,404,"Southern United States ",美國南部 ,Southern United States ,404,404,1,
144,1,50,124,[Common sense] The best coffee in the world is produced in,【常識】世界上最好的咖啡產於,[Common sense] The best coffee in the world is produced in,404,404,Jamaica,牙買加,Jamaica,404,404,Brazil,巴西,Brazil,404,404,Colombia,哥倫比亞,Colombia,404,404,Ethiopia,埃塞俄比亞,Ethiopia,404,404,1,
145,2,50,230,[Common Sense] Where is the largest peninsula in Europe?,【常識】歐洲最大的半島在？,[Common Sense] Where is the largest peninsula in Europe?,404,404,"Northern Europe ",北歐 ,Northern Europe ,404,404,Eastern Europe,東歐,Eastern Europe,404,404,Western Europe,西歐,Western Europe,404,404,Central Europe,中歐,Central Europe,404,404,1,
146,2,50,230,[Common Sense] Which continent does Hawaii belong to geographically?,【常識】夏威夷在地理位置上屬於哪個洲？,[Common Sense] Which continent does Hawaii belong to geographically?,404,404,"Oceania ",大洋洲 ,Oceania ,404,404,North America,北美洲,North America,404,404,South America,南美洲,South America,404,404,Asia,亞洲,Asia,404,404,1,
147,2,50,230,[Common sense] How long is the international marathon run,【常識】國際馬拉松跑的賽程是,[Common sense] How long is the international marathon run,404,404,42195m,42195m,42195m,404,404,42000m,42000m,42000m,404,404,42125m,42125m,42125m,404,404,42105m,42105m,42105m,404,404,1,
148,2,50,230,[Common sense] Where are the growth rings of the cow,【常識】牛的年輪長在,[Common sense] Where are the growth rings of the cow,404,404,On the teeth,牙齒上,On the teeth,404,404,On the hooves,牛蹄上,On the hooves,404,404,Belly,腹部,Belly,404,404,Horns,牛角上,Horns,404,404,1,
149,2,50,234,"[Common Sense] Who is the author of ""Snow White""?  ",【常識】《白雪公主》的作者是誰？ ,"[Common Sense] Who is the author of ""Snow White""?  ",404,404,Brother Grimm,格林兄弟,Brother Grimm,404,404,Andersen,安徒生,Andersen,404,404,Anonymous,佚名,Anonymous,404,404,Aesop,伊索,Aesop,404,404,1,
150,2,50,234,"[Common sense] Whose blood pressure was the earliest sphygmomanometer used to measure?  ",【常識】最早的血壓計用於測量誰的血壓？ ,[Common sense] Whose blood pressure was the earliest sphygmomanometer used to measure?  ,404,404,horse,馬,horse,404,404,Cattle,牛,Cattle,404,404,Pig,豬,Pig,404,404,Sheep,羊,Sheep,404,404,1,
151,2,50,234,[Common Sense] What was the first institution of higher learning in American history?,【常識】美國歷史上第一所高等學府是,[Common Sense] What was the first institution of higher learning in American history?,404,404,Harvard University,哈佛大學,Harvard University,404,404,"Stanford University ","斯坦福大學 ","Stanford University ",404,404,"The Juilliard School ","朱麗亞音樂學院 ","The Juilliard School ",404,404,New York University,紐約大學,New York University,404,404,1,
152,2,50,234,[Common Sense] The earliest campus songs appeared in,【常識】最早的校園歌曲出現在,[Common Sense] The earliest campus songs appeared in,404,404,"Japan ",日本 ,Japan ,404,404,Korea,韓國,Korea,404,404,China,中國,China,404,404,United States,美國,United States,404,404,1,
153,2,50,238,"[Common Sense] Who wrote ""Othello"" come from?",【常識】《奧賽羅》出自誰手？,"[Common Sense] Who wrote ""Othello"" come from?",404,404,Shakespeare,莎士比亞,Shakespeare,404,404,Homer,荷馬,Homer,404,404,Dante,但丁,Dante,404,404,Tolstoy,托爾斯泰,Tolstoy,404,404,1,
154,2,50,238,[Common sense] What color is the world in the eyes of a dog?,【常識】在狗的眼睛裏世界是什麽顏色的？,[Common sense] What color is the world in the eyes of a dog?,404,404,Black and white gray,黑白灰色,Black and white gray,404,404,Red and Green,紅綠色,Red and Green,404,404,Blue and Orange,藍橙色,Blue and Orange,404,404,Color,彩色,Color,404,404,1,
155,2,50,238,"[Common Sense] Where did the world's first stamp appear?  ",【常識】世界第一枚郵票出現在？ ,[Common Sense] Where did the world's first stamp appear?  ,404,404,United Kingdom,英國,United Kingdom,404,404,United States,美國,United States,404,404,Germany,德國,Germany,404,404,France,法國,France,404,404,1,
156,2,50,238,"[Common Sense] What is the highest peak of the Alps?  ",【常識】阿爾卑斯山脈的最高峰是？ ,[Common Sense] What is the highest peak of the Alps?  ,404,404,Mont Blanc,勃朗峰,Mont Blanc,404,404,Matterhorn,馬特洪峰,Matterhorn,404,404,Dufour Peak,杜富爾峰,Dufour Peak,404,404,Weisshorn,魏斯峰,Weisshorn,404,404,1,
157,2,50,242,[Common sense] What kind of bird has the longest flight distance in the world record?,【常識】有記錄的世界上飛翔距離最遠的是什麽鳥？,[Common sense] What kind of bird has the longest flight distance in the world record?,404,404,Sterna paradisaea,北極燕鷗,Sterna paradisaea,404,404,Wild goose,大雁,Wild goose,404,404,Vulture,禿鷲,Vulture,404,404,Bald Eagle,白頭鷹,Bald Eagle,404,404,1,
158,2,50,242,[Common sense] Is the fluorescent lamp a high-pressure mercury lamp?,【常識】日光燈是一種高壓水銀燈嗎？,[Common sense] Is the fluorescent lamp a high-pressure mercury lamp?,404,404,"Is not ",不是 ,Is not ,404,404,Yes it is,是的,Yes it is,404,404,It may or may not,有可能是也有可能不是,It may or may not,404,404,Unable to verify,無法考證,Unable to verify,404,404,1,
159,2,50,242,"[Common Sense] Domingo and Carreras in ""The World's Three Tenors"" are both?  ","【常識】""世界三大男高音""中的多明戈和卡雷拉斯都是？ ","[Common Sense] Domingo and Carreras in ""The World's Three Tenors"" are both?  ",404,404," Spanish", 西班牙人, Spanish,404,404,Italian,意大利人,Italian,404,404,Argentine,阿根廷人,Argentine,404,404,French,法國人,French,404,404,1,
160,2,50,242,"[Common Sense] Where is the Pyramid of the Moon located?  ",【常識】月亮金字塔坐落在哪裏？ ,[Common Sense] Where is the Pyramid of the Moon located?  ,404,404,Mexico,墨西哥,Mexico,404,404,Toronto,多倫多,Toronto,404,404,Vancouver,溫哥華,Vancouver,404,404,Montreal,蒙特利爾,Montreal,404,404,1,
161,2,50,246,"[Common Sense] What is called a ""smoke-free city""?  ","【常識】有""無煙城市""之稱的是？ ","[Common Sense] What is called a ""smoke-free city""?  ",404,404,Reykjavik,雷克雅末克,Reykjavik,404,404,Aarhus,奧胡斯,Aarhus,404,404,Odense,歐登塞,Odense,404,404,Aalborg,奧爾堡,Aalborg,404,404,1,
162,2,50,246,"[Common Sense] Which city's emblem is ""The Little Mermaid""?  ","【常識】""海的女兒""是哪個城市的城徽？ ","[Common Sense] Which city's emblem is ""The Little Mermaid""?  ",404,404,Copenhagen,哥本哈根,Copenhagen,404,404,Aarhus,奧胡斯,Aarhus,404,404,Switzerland,瑞士,Switzerland,404,404,Reykjavik,雷克雅末克,Reykjavik,404,404,1,
164,2,50,246,[Common Sense] The lowest altitude of the Dead Sea is,【常識】死海的最低海拔為,[Common Sense] The lowest altitude of the Dead Sea is,404,404,-392m,-392m,-392m,404,404,-361m,-361m,-361m,404,404,-492m,-492m,-492m,404,404,-461m,-461m,-461m,404,404,1,
165,2,50,246,[Common sense] The world’s first subway was built in 1863 is located at,【常識】世界上第一條地鐵在1863年建於,[Common sense] The world’s first subway was built in 1863 is located at,404,404,"London ",倫敦 ,London ,404,404,Berlin,柏林,Berlin,404,404,Paris,巴黎,Paris,404,404,Lyon,裏昂,Lyon,404,404,1,
166,2,50,251,[Common sense] The famous Louvre Museum is in,【常識】著名的盧浮宮博物館在,[Common sense] The famous Louvre Museum is in,404,404,"Paris ",巴黎 ,Paris ,404,404,Berlin,柏林,Berlin,404,404,Lyon,裏昂,Lyon,404,404,London,倫敦,London,404,404,1,
167,2,50,251,"[Common sense] Silicon Valley, the world's most important IT high-tech industrial base is in which state of the United States?  ",【常識】世界最重要的IT高科技產業基地矽谷位於美國的哪個州？ ,"[Common sense] Silicon Valley, the world's most important IT high-tech industrial base is in which state of the United States?  ",404,404,California,加利福尼亞州,California,404,404,Texas,德克薩斯州,Texas,404,404,Alaska,阿拉斯加州,Alaska,404,404,Colorado,科羅拉多州,Colorado,404,404,1,
168,2,50,251,[Common sense] The longest river in Europe is,【常識】歐洲最長的河流是,[Common sense] The longest river in Europe is,404,404,Volga,伏爾加河,Volga,404,404,Rhine River,萊茵河,Rhine River,404,404,Danube,多瑙河,Danube,404,404,Thames,泰晤士河,Thames,404,404,1,
169,2,50,251,"[Common Sense] How long is the growth cycle of eyebrows?  ",【常識】眉毛的生長周期有多久？ ,[Common Sense] How long is the growth cycle of eyebrows?  ,404,404,2 months,2個月,2 months,404,404,1 month,1個月,1 month,404,404,Half a year,半年,Half a year,404,404,15 days,15天,15 days,404,404,1,
170,2,50,255,[Common sense] The oldest form of human painting is,【常識】人類最古老的繪畫形式是,[Common sense] The oldest form of human painting is,404,404,mural,壁畫,mural,404,404,Print,版畫,Print,404,404,Painting,油畫,Painting,404,404,Watercolor painting,水彩畫,Watercolor painting,404,404,1,
171,2,50,255,[Common sense] The temperature in the Arctic is higher than the temperature in the Antarctic,【常識】北極的氣溫比南極的氣溫,[Common sense] The temperature in the Arctic is higher than the temperature in the Antarctic,404,404,"high ",高 ,high ,404,404,Almost the same,相差無幾,Almost the same,404,404,Low,低,Low,404,404,Unable to verify,無法考證,Unable to verify,404,404,1,
172,2,50,255,"[Common Sense] Which language does the word ""montage"" originate from?  ","【常識】""蒙太奇""一詞源於哪國語言？ ","[Common Sense] Which language does the word ""montage"" originate from?  ",404,404,France,法國,France,404,404,Germany,德國,Germany,404,404,Italy,意大利,Italy,404,404,United States,美國,United States,404,404,1,
173,2,50,255,[Common sense] Is champagne wine?,【常識】香檳酒是葡萄酒嗎？,[Common sense] Is champagne wine?,404,404,Yes,是,Yes,404,404,Is not,不是,Is not,404,404,Some are some not,有的是有的不是,Some are some not,404,404,Unable to verify,無法考證,Unable to verify,404,404,1,
175,2,50,260,"[Common Sense] Which bridge is the famous film ""Waterloo Bridge""?  ",【常識】著名影片《魂斷藍橋》的橋是哪座橋？ ,"[Common Sense] Which bridge is the famous film ""Waterloo Bridge""?  ",404,404,"Waterloo Bridge ",滑鐵盧橋 ,Waterloo Bridge ,404,404,Fehmarn Bridge,費馬恩大橋,Fehmarn Bridge,404,404,London bridge,倫敦橋,London bridge,404,404,Yugoslavia Bridge,南斯拉夫大橋,Yugoslavia Bridge,404,404,1,
176,2,50,260,"[Common Sense] Which country in the world is known as the ""Gold Coast""?  ","【常識】世界上的哪個國家有""黃金海岸""之稱？ ","[Common Sense] Which country in the world is known as the ""Gold Coast""?  ",404,404,Ghana,加納,Ghana,404,404,Australia,澳大利亞,Australia,404,404,Mexico,墨西哥,Mexico,404,404,United States,美國,United States,404,404,1,
177,2,50,260,[Common Sense] The famous Halley’s comet is named after,【常識】著名的哈雷彗星命名源於,[Common Sense] The famous Halley’s comet is named after,404,404,"Person's name ",人名 ,Person's name ,404,404,Name of a place,地名,Name of a place,404,404,Event name,事件名,Event name,404,404,Unable to verify,無法考證,Unable to verify,404,404,1,
178,2,50,260,[Common sense] The first country in the world to grow cotton is,【常識】世界上最早種植棉花的國家是,[Common sense] The first country in the world to grow cotton is,404,404,"India ",印度 ,India ,404,404,China,中國,China,404,404,Myanmar,緬甸,Myanmar,404,404,Korea,韓國,Korea,404,404,1,
179,2,50,260,[Common sense] The changing of the four seasons on the earth is due to,【常識】地球上出現的四季更替是由於,[Common sense] The changing of the four seasons on the earth is due to,404,404,"Earth revolution ",地球公轉 ,Earth revolution ,404,404,Earth rotation,地球自轉,Earth rotation,404,404,Sun rotation,太陽自轉,Sun rotation,404,404,Sun revolution,太陽公轉,Sun revolution,404,404,1,
180,3,50,313,"[Common sense] Many people like to go sunbathing in the Dead Sea, which is 410 meters below sea level, because",【常識】許多人都喜歡到低於海平面410公尺的死海去做日光浴是因為,"[Common sense] Many people like to go sunbathing in the Dead Sea, which is 410 meters below sea level, because",404,404,"The weakest UV ",紫外線最弱 ,The weakest UV ,404,404,Can cure the disease,可以治愈疾病,Can cure the disease,404,404,Beautiful environment,環境漂亮,Beautiful environment,404,404,The best air,空氣最好,The best air,404,404,1,
181,3,50,313,"[Common sense] Human faces have left and right biases just like hands, so which bias has more people?",【常識】人的面部與手一樣有左右偏性，那麽哪種偏性的人更多？,"[Common sense] Human faces have left and right biases just like hands, so which bias has more people?",404,404,Right,右偏,Right,404,404,"Left biases ",左偏,"Left biases ",404,404,Unable to count,無法統計,Unable to count,404,404,Neither left nor right,既不偏左也不偏右,Neither left nor right,404,404,1,
182,3,50,315,[Common sense] The national bird of India is,【常識】印度的國鳥是,[Common sense] The national bird of India is,404,404,peacock,孔雀,peacock,404,404,Bald Eagle,白頭海雕,Bald Eagle,404,404,Chinese Monal Pheasant,綠雉,Chinese Monal Pheasant,404,404,Red-crowned crane,丹頂鶴,Red-crowned crane,404,404,1,
183,3,50,315,[Common sense] How many pieces are there in chess?,【常識】國際象棋共有多少顆棋子？,[Common sense] How many pieces are there in chess?,404,404," 32 pcs", 32顆, 32 pcs,404,404,36 pcs,36顆,36 pcs,404,404,30 pcs,30顆,30 pcs,404,404,28 pcs,28顆,28 pcs,404,404,1,
184,3,50,315,"[Common Sense] ""Winter is here, can spring be far behind?"" is said by","【常識】""冬天到了，春天還會遠嗎""語出","[Common Sense] ""Winter is here, can spring be far behind?"" is said by",404,404,"Shelley ",雪萊 ,Shelley ,404,404,Byron,拜倫,Byron,404,404,Tagore,泰戈爾,Tagore,404,404,Hermann Hesse,赫爾曼·黑塞,Hermann Hesse,404,404,1,
185,3,50,319,"[Common Sense] Internationally, ""K"" is used to indicate the gold content, and 18K indicates that the gold content is","【常識】國際上用""K""表示含金量，18K表示含金量為","[Common Sense] Internationally, ""K"" is used to indicate the gold content, and 18K indicates that the gold content is",404,404,"75% ",75% ,75% ,404,404,1,1,1,404,404,0.996,99.60%,0.996,404,404,0.99,99%,0.99,404,404,1,
186,3,50,319,"[Common sense] What is the relationship between Strauss and the ""Father of Waltz"" John Strauss?","【常識】施特勞斯與""圓舞曲之父""老約翰.施特勞斯是什麽關系？","[Common sense] What is the relationship between Strauss and the ""Father of Waltz"" John Strauss?",404,404,Father and son,父子,Father and son,404,404,Brothers,兄弟,Brothers,404,404,Friend,朋友,Friend,404,404,Don't know each other,互不認識,Don't know each other,404,404,1,
187,3,50,319,"[Common Sense] According to the current observations, the most abundant element in the universe is",【常識】就目前觀察，宇宙空間含量最多的元素是,"[Common Sense] According to the current observations, the most abundant element in the universe is",404,404,Hydrogen,氫元素,Hydrogen,404,404,Oxygen,氧元素,Oxygen,404,404,Sodium,鈉元素,Sodium,404,404,Chlorine,氯元素,Chlorine,404,404,1,
188,3,50,322,"[Common Sense] When the snake dancer performs, the snake moves with the snake dancer because of which of the following influences?","【常識】舞蛇者表演時,蛇隨舞蛇者舞動是因為受到以下哪種影響？","[Common Sense] When the snake dancer performs, the snake moves with the snake dancer because of which of the following influences?",404,404,The movements of the snake dancer,舞蛇者的動作,The movements of the snake dancer,404,404,The sound of the snake dancer,舞蛇者發出的聲音,The sound of the snake dancer,404,404,Snake dancer's eyes,舞蛇者的眼神,Snake dancer's eyes,404,404,Snake dancer's costume,舞蛇者的服裝,Snake dancer's costume,404,404,1,
189,3,50,322,[Common sense] What controls balance in the human brain is,【常識】人腦中控制人平衡力的是,[Common sense] What controls balance in the human brain is,404,404,Cerebellum,小腦,Cerebellum,404,404,Brain,大腦,Brain,404,404,Diencephalon,間腦,Diencephalon,404,404,Brain stem,腦幹,Brain stem,404,404,1,
190,3,50,322,"[Common sense] In order to allow the telescope to observe celestial bodies, the roof of the observatory’s house is designed as",【常識】為了便於讓望遠鏡觀測天體，天文臺的房子屋頂被設計成,"[Common sense] In order to allow the telescope to observe celestial bodies, the roof of the observatory’s house is designed as",404,404,Dome,圓頂,Dome,404,404,Square top,方頂,Square top,404,404,Open air,露天,Open air,404,404,Sealed state,密封狀態,Sealed state,404,404,1,
191,1,50,150,"According to the Pokédex, the Magneton is composed of three Magnemite. From this, guess how many times the weight of the Magneton is the Magnemite?",根據圖鑒可知，三合一磁怪由三只小磁怪組成，由此猜測三合一磁怪的體重是小磁怪的多少倍？,"According to the Pokédex, the Magneton is composed of three Magnemite. From this, guess how many times the weight of the Magneton is the Magnemite?",404,404,10 times,10倍,10 times,404,404,5 times,5倍,5 times,404,404,20 times,20倍,20 times,404,404,3 times,3倍,3 times,404,404,1,
192,1,50,151,"There is an Pokémon in shape and color, which is similar to the Pokéball. Which Pokémon is it?",有一只精靈的形狀和顏色，都與精靈球相似，請問是哪只精靈？,"There is an Pokémon in shape and color, which is similar to the Pokéball. Which Pokémon is it?",404,404,Thunderbolt,霹靂電球,Thunderbolt,404,404,Electrode,頑皮雷彈,Electrode,404,404,Exeggcute,蛋蛋,Exeggcute,404,404,Blissey,幸福蛋,Blissey,404,404,1,
193,1,50,152,How many tails does Tauros have?,肯泰羅有幾條尾巴？,How many tails does Tauros have?,404,404,Three,3條,Three,404,404,One,1條,One,404,404,Two,2條,Two,404,404,no,無,no,404,404,1,
194,1,50,153,Which Pokémon active during the day and suddenly becomes motionless after the sun goes down?,哪只精靈在白天時頻繁地活動，太陽下山後會突然變得一動不動？,Which Pokémon active during the day and suddenly becomes motionless after the sun goes down?,404,404,Sunflora,向日花怪,Sunflora,404,404,Yanma,蜻蜻蜓,Yanma,404,404,Wooper,烏波,Wooper,404,404,Espeon,太陽伊布,Espeon,404,404,1,
195,1,50,154,Which of the following Pokémon are not poison type?,以下精靈中沒有毒屬性的是？,Which of the following Pokémon are not poison type?,404,404,Hypnotist Butterfree,催眠大師巴大蝶,Hypnotist Butterfree,404,404,Smelly smelly Gloome,臭烘烘的臭臭花,Smelly smelly Gloome,404,404,Bulb carrier Bulbasaur,達捏達捏的妙蛙種子,Bulb carrier Bulbasaur,404,404,Dull-eyed Bellsprout,目光呆滯的喇叭芽,Dull-eyed Bellsprout,404,404,1,
196,1,50,155,Which of the following Pokémon do not have regional differences?,以下哪種精靈不存在地區形態差異？,Which of the following Pokémon do not have regional differences?,404,404,Pikachu,皮卡丘,Pikachu,404,404,Raticate,拉達,Raticate,404,404,Diglett,地鼠,Diglett,404,404,Golem,隆隆巖,Golem,404,404,1,
197,1,50,156,"Hypno are an evolution form of Drowzee. Both are hypnotic Pokémon, and what do they feed on?",引夢貘人是催眠貘的進化型，二者都是催眠精靈、且以什麽為食？,"Hypno are an evolution form of Drowzee. Both are hypnotic Pokémon, and what do they feed on?",404,404,dream,夢,dream,404,404,Soul,靈魂,Soul,404,404,Nectar,花蜜,Nectar,404,404,Fruit,果實,Fruit,404,404,1,
198,1,50,157,"In fairy tales, the ugly duckling becomes a white swan, and the Pokémon have a similar evolution. Which Pokémon is it?",童話中有醜小鴨變為白天鵝，精靈中也有類似的進化。請問是哪只精靈？,"In fairy tales, the ugly duckling becomes a white swan, and the Pokémon have a similar evolution. Which Pokémon is it?",404,404,Ducklett,鴨寶寶,Ducklett,404,404,Psyduck,可達鴨,Psyduck,404,404,Farfetch'd,大蔥鴨,Farfetch'd,404,404,Magby,鴨嘴寶寶,Magby,404,404,1,
199,1,50,158,Which of the following statements about Snorunt is wrong?,以下關於雪童子說法錯誤的是？,Which of the following statements about Snorunt is wrong?,404,404,"People hate Snorunt’s arrival, it will bring coldness",人們都厭惡雪童子的到來，會帶來寒冷,"People hate Snorunt’s arrival, it will bring coldness",404,404,The temperature of the place where Snorunt passes by will drop sharply,雪童子經過的地方溫度會急劇下降,The temperature of the place where Snorunt passes by will drop sharply,404,404,Snorunt lives by eating snow and ice,雪童子是以吃雪和冰為生的,Snorunt lives by eating snow and ice,404,404,The family that the Snorunt visited will prosper for generations,雪童子到訪過的家會世代繁榮,The family that the Snorunt visited will prosper for generations,404,404,1,
200,1,50,159,What is the gender of the Infinite Pokémon Latias?,無限精靈拉帝亞斯的性別是？,What is the gender of the Infinite Pokémon Latias?,404,404,female,雌性,female,404,404,Male,雄性,Male,404,404,Both male and female,雄性雌性都有,Both male and female,404,404,Legendary Pokémon cannot be confirmed,傳說寶可夢無法確認,Legendary Pokémon cannot be confirmed,404,404,1,
201,2,50,261,"What part of Azumarill's body is called the ""sensor""?",瑪力露麗身上被稱為”感應器“的部位是？,"What part of Azumarill's body is called the ""sensor""?",404,404,ear,耳朵,ear,404,404,Tail,尾巴,Tail,404,404,Nose,鼻子,Nose,404,404,Eye,眼睛,Eye,404,404,1,
202,2,50,262,How many degree does the flower on the top of Skiploom usually bloom?,毽子花頭頂的花一般超過多少度就會開花？,How many degree does the flower on the top of Skiploom usually bloom?,404,404,18°,18°,18°,404,404,20°,20°,20°,404,404,10°,10°,10°,404,404,25°,25°,25°,404,404,1,
203,2,50,263,How many liters of milk can Miltank produce in a day?,大奶罐一天可以產出多少升的牛奶？,How many liters of milk can Miltank produce in a day?,404,404,20 liters,20升,20 liters,404,404,15 liters,15升,15 liters,404,404,30 liters,30升,30 liters,404,404,40 liters,40升,40 liters,404,404,1,
204,2,50,264,Slakoth always lie motionless on their stomachs. How long does Slakoth spend at least lying down every day?,懶人獺身體總是一動不動的趴著，請問每天懶人獺至少會趴多久？,Slakoth always lie motionless on their stomachs. How long does Slakoth spend at least lying down every day?,404,404,At least 20 hours,至少20小時,At least 20 hours,404,404,At least 15 hours,至少15小時,At least 15 hours,404,404,Lying for 24 hours,趴24小時,Lying for 24 hours,404,404,Lie down for at least 18 hours,至少趴18小時,Lie down for at least 18 hours,404,404,1,
205,2,50,265,Which of the following Pokémon has the slowest movement speed?,下列精靈中誰的移動速度最慢？,Which of the following Pokémon has the slowest movement speed?,404,404,Nosepass,朝北鼻,Nosepass,404,404,Makuhita,幕下力士,Makuhita,404,404,Delcatty,優雅貓,Delcatty,404,404,Sableye,勾魂眼,Sableye,404,404,1,
206,2,50,266,"Carvanha is very timid and will not go hunting when alone, but how many of them are together, it will change its habit?",利牙魚在孤身一人的情況下十分膽小且不會去狩獵，但是在多少只同類在一起時就會性情大變？,"Carvanha is very timid and will not go hunting when alone, but how many of them are together, it will change its habit?",404,404,Five,5只,Five,404,404,Three,3只,Three,404,404,Four,4只,Four,404,404,Two,2只,Two,404,404,1,
207,2,50,267,Spoink is a kind of Pokémon that jumping all the time. Which of the following explanations of the reasons for the jumping is correct?,跳跳豬是一種無時無刻不在跳動的精靈，下列闡述不停跳動的原因正確的是？,Spoink is a kind of Pokémon that jumping all the time. Which of the following explanations of the reasons for the jumping is correct?,404,404,Relying on jumping vibrations to make the heart beat,靠著跳躍的震動來使心臟跳動,Relying on jumping vibrations to make the heart beat,404,404,Rely on the vibration of the jump to maintain balance,靠著跳躍的震動來保持平衡,Rely on the vibration of the jump to maintain balance,404,404,Stabilize fat by jumping vibrations,靠著跳躍的震動來穩定脂肪,Stabilize fat by jumping vibrations,404,404,Rely on the vibration of the jump to make itself resilient,靠著跳躍的震動使自己變得有彈性,Rely on the vibration of the jump to make itself resilient,404,404,1,
208,2,50,268,What is the rival enemy of Zangoose?,貓鼬斬與生俱來的宿敵是？,What is the rival enemy of Zangoose?,404,404,Seviper,飯匙蛇,Seviper,404,404,Barboach,泥泥鰍,Barboach,404,404,Crawdaunt,鐵螯龍蝦,Crawdaunt,404,404,Armaldo,太古盔甲,Armaldo,404,404,1,
209,2,50,269,"Regirock, Regice, and Registeel are inconsistent in the arrangement of ""eyes"", but the number of ""eyes"" is the same. How many eyes are there in total?","雷吉洛克、雷吉艾斯、雷吉斯奇魯雖然""眼睛""的排列不一致，但是""眼睛""數量是一樣的。請問，一共有多少只眼睛？","Regirock, Regice, and Registeel are inconsistent in the arrangement of ""eyes"", but the number of ""eyes"" is the same. How many eyes are there in total?",404,404,7,7個,7,404,404,Six,6個,Six,404,404,Eight,8個,Eight,404,404,Nine,9個,Nine,404,404,1,
210,2,50,270,"Burmy will make the materials around it become part of the body, thus appearing in different forms. Which one is not in its current known form?",結草兒會將身邊的材料會成為身體的一部分，因而出現不同形態。哪只不是目前已有形態？,"Burmy will make the materials around it become part of the body, thus appearing in different forms. Which one is not in its current known form?",404,404,Flower Cloak,花海蓑衣,Flower Cloak,404,404,Trash Cloak,垃圾蓑衣,Trash Cloak,404,404,Sandy Cloak,砂土蓑衣,Sandy Cloak,404,404,Plant Cloak,草木蓑衣,Plant Cloak,404,404,1,
211,2,50,271,Lickilicky can stick out its tongue for a long time. What is the longest record so far?,大舌舔的舌頭可以伸出很長，請問目前最長的記錄是多少？,Lickilicky can stick out its tongue for a long time. What is the longest record so far?,404,404,25 meters,25米,25 meters,404,404,20 meters,20米,20 meters,404,404,30 meters,30米,30 meters,404,404,35 meters,35米,35 meters,404,404,1,
212,2,50,272,Usually the evolution of Pokémon will cause physical mutations. Which of the following  Pokémon’s foot will disappear after evolution?,通常精靈進化會引起身體上的變異，以下哪只精靈在進化後腳會消失？,Usually the evolution of Pokémon will cause physical mutations. Which of the following  Pokémon’s foot will disappear after evolution?,404,404,Snivy,藤藤蛇,Snivy,404,404,Pichu,皮丘,Pichu,404,404,Tepig,暖暖豬,Tepig,404,404,Oshawott,水水獺,Oshawott,404,404,1,
